,Your gender ,Your age ,How important is exercise to you ?,How do you describe your current level of fitness ?,How often do you exercise?,Do you exercise ___________ ?,What time if the day do you prefer to exercise?,How long do you spend exercising per day ?,Would you say you eat a healthy balanced diet ?,"What prevents you from eating a healthy balanced diet, If any?                         (Please select all that apply)",How healthy do you consider yourself?,Have you ever recommended your friends to follow a fitness routine?,Have you ever purchased a fitness equipment?
349,0,2,4,1,3,0,0,1,0,3,3,0,0
350,1,0,3,1,2,3,0,3,0,3,3,1,1
351,1,0,2,1,0,2,0,0,2,3,4,1,0
352,1,0,5,1,3,3,1,3,0,0,3,0,0
353,1,1,3,1,1,1,0,2,1,4,4,1,1
354,1,0,5,1,0,0,0,0,0,1,3,1,1
355,0,0,5,3,4,2,1,3,2,0,3,0,1
356,1,0,5,1,3,2,1,1,1,3,4,0,1
357,1,1,3,2,4,4,0,3,0,3,3,1,1
358,1,0,4,2,2,3,0,1,0,0,3,1,1
359,1,0,4,2,5,3,1,1,2,0,5,0,0
360,0,0,3,1,5,3,1,0,0,3,4,1,1
361,0,1,4,2,2,0,1,0,1,4,4,0,1
362,1,0,4,2,4,2,1,3,2,3,3,1,0
363,0,0,2,2,3,0,1,1,2,0,3,1,0
364,1,0,5,1,2,0,1,0,2,0,3,0,0
365,0,0,4,1,2,0,0,0,2,0,2,1,1
366,0,3,5,1,3,0,0,0,0,1,3,0,1
367,1,0,4,2,5,0,1,3,2,0,5,0,1
368,0,0,3,2,1,1,1,2,0,1,2,0,1
369,0,0,3,1,1,1,0,2,0,0,3,0,0
370,0,1,4,2,0,0,0,0,0,0,3,0,1
372,1,0,4,2,3,3,0,0,0,0,3,0,0
373,0,0,3,2,0,0,1,1,2,0,3,1,1
374,1,3,4,1,2,0,0,0,0,5,3,0,1
375,1,2,5,1,2,0,0,1,2,0,4,1,1
376,1,0,2,1,1,1,1,2,0,3,5,1,0
377,0,4,3,1,0,0,0,2,0,0,3,1,1
378,1,0,4,2,3,0,0,0,2,3,4,0,0
379,1,0,5,1,1,1,0,2,0,1,3,1,1
380,1,0,3,2,1,1,0,2,1,4,4,1,1
381,0,1,4,1,3,0,0,1,2,3,3,1,1
382,1,3,4,2,5,0,0,1,0,0,4,0,0
383,0,0,3,2,2,0,0,2,2,1,3,1,1
384,1,0,3,2,0,2,1,3,0,1,3,0,1
385,0,0,3,2,3,0,1,1,1,4,5,0,1
386,0,4,5,1,1,0,0,2,0,1,2,1,1
387,1,0,3,2,0,0,1,1,2,0,4,0,1
388,0,0,5,1,0,0,0,3,0,0,4,0,1
389,1,0,5,2,0,0,0,0,2,5,4,0,0
390,1,0,5,2,4,0,1,3,1,3,5,0,0
391,1,1,5,2,4,0,0,3,0,0,3,0,1
392,0,0,4,2,2,0,0,0,0,0,4,0,1
393,1,0,3,1,1,1,0,2,2,3,2,1,1
394,0,0,1,2,1,1,0,2,1,4,3,1,1
395,1,2,3,2,0,0,0,1,0,1,3,0,1
396,0,3,4,2,1,1,1,2,1,4,3,1,1
397,1,0,3,1,0,0,0,0,2,3,3,1,1
398,0,0,4,2,4,3,1,1,2,1,3,1,1
399,1,0,4,1,0,2,0,1,0,3,3,1,1
400,0,0,4,2,0,0,0,0,0,0,3,1,1
401,1,0,4,2,5,2,1,3,0,0,4,0,1
402,0,0,4,2,0,3,1,0,1,4,4,0,0
403,1,0,5,2,4,2,1,3,0,0,4,0,0
404,1,0,3,2,0,0,0,1,1,1,3,1,1
405,0,0,5,2,2,0,1,0,0,3,4,0,1
406,0,2,3,1,0,0,1,0,2,5,3,1,1
407,1,0,4,2,5,2,0,1,0,5,3,1,0
408,1,0,5,1,1,2,0,3,0,1,3,0,0
409,1,0,4,2,2,3,1,1,0,3,3,0,1
410,0,0,3,1,1,0,1,0,2,3,3,0,1
411,1,0,5,2,4,0,0,0,1,0,3,1,1
412,1,0,4,1,1,1,1,2,0,5,3,0,0
413,0,1,2,2,1,1,0,0,2,0,3,1,1
414,0,0,4,1,2,0,1,0,0,3,4,0,1
415,1,0,3,2,1,2,1,1,0,4,5,0,1
416,1,0,5,3,3,0,1,3,1,4,4,0,1
417,1,0,5,3,4,0,1,0,0,1,3,0,0
419,1,0,4,1,5,3,1,1,1,4,2,0,0
420,0,4,5,1,1,1,0,2,0,1,2,0,1
421,1,0,4,1,1,0,0,3,0,5,2,0,1
422,1,0,4,1,5,2,0,4,2,1,3,0,0
423,1,1,5,2,1,0,0,0,0,4,5,1,0
424,0,1,3,3,0,2,0,0,1,5,3,0,1
425,1,0,5,1,1,2,1,3,0,5,3,1,1
426,0,1,3,1,0,0,0,1,0,3,4,0,1
427,1,1,4,1,1,0,0,1,1,4,3,0,1
428,0,1,4,2,0,3,1,1,2,3,3,0,1
429,0,3,5,2,0,0,0,1,1,4,5,0,1
430,0,0,2,1,1,1,0,2,1,4,4,1,1
431,1,0,5,3,5,3,1,1,0,3,3,1,0
432,0,1,3,2,1,2,0,2,0,0,3,1,0
433,1,1,4,2,2,2,1,3,2,3,3,0,0
434,0,1,3,1,1,0,0,2,0,0,3,0,1
435,0,0,3,1,1,4,1,2,1,4,3,1,0
436,1,1,3,2,2,0,1,1,1,3,3,1,1
437,1,2,4,1,2,0,0,0,1,1,3,0,1
438,1,2,2,1,1,1,1,2,1,4,3,1,0
439,1,2,3,1,2,0,1,0,1,4,3,1,1
440,0,1,3,1,0,2,1,0,0,3,3,0,0
441,0,4,5,1,0,4,1,1,2,0,3,0,1
442,1,0,4,2,2,0,0,0,0,0,3,0,1
443,0,0,4,2,0,2,1,1,0,0,4,0,0
444,1,3,4,1,0,0,0,1,0,3,4,0,0
445,1,2,5,2,3,0,1,1,1,4,4,0,0
446,0,1,5,2,0,0,1,1,0,4,3,0,0
447,1,1,5,2,5,0,0,1,0,0,4,0,0
448,0,1,4,1,0,0,0,0,0,3,3,0,1
449,0,1,5,3,4,0,0,0,1,1,4,0,0
450,1,1,4,2,2,0,1,1,0,0,3,0,1
451,1,1,5,1,5,3,0,0,0,0,4,1,0
452,0,1,5,2,4,2,1,1,0,3,3,0,0
453,0,0,3,2,0,0,1,1,0,3,3,0,1
454,0,1,3,2,1,1,0,2,1,4,4,0,1
455,0,4,4,2,2,2,0,1,0,1,3,0,1
456,0,2,5,1,3,0,1,0,0,4,4,0,0
457,0,2,5,2,5,2,0,1,0,4,4,0,1
458,0,1,5,3,4,0,0,1,0,4,4,0,1
459,1,2,5,2,2,0,2,3,0,3,3,0,1
460,0,1,3,1,0,0,1,0,0,0,2,0,1
461,0,2,3,1,0,0,1,0,0,0,3,1,0
462,1,2,4,1,2,0,0,0,1,4,3,0,1
463,0,1,5,2,3,3,0,1,0,1,4,0,0
464,0,2,5,3,3,0,1,0,1,4,5,0,1
465,0,1,4,3,2,2,1,1,0,0,3,0,0
466,0,2,4,2,0,0,0,0,1,4,3,1,0
467,1,0,4,1,1,1,1,2,2,4,3,0,1
468,0,0,5,3,3,0,1,0,1,4,4,0,0
469,1,2,5,2,1,1,0,2,0,3,4,0,1
471,1,0,5,1,2,0,0,0,0,1,2,0,1
472,1,0,5,1,2,0,0,0,0,1,2,0,1
473,0,1,3,1,0,0,0,0,0,3,3,0,1
474,1,3,5,1,3,0,0,0,2,1,3,0,1
475,1,2,3,2,3,0,0,1,0,4,4,0,1
476,1,0,3,1,1,1,0,2,0,3,2,1,1
477,0,0,5,1,1,0,0,0,0,5,3,1,1
478,0,0,3,1,0,0,1,0,0,1,3,0,1
479,0,1,5,3,5,2,0,3,1,0,4,0,0
480,0,3,2,1,0,0,1,0,0,0,2,1,0
481,0,4,3,1,0,2,0,3,0,4,3,0,0
482,0,0,5,2,0,0,0,1,1,4,5,0,1
483,1,2,3,2,1,1,0,2,0,0,3,1,1
484,0,3,5,2,3,0,0,0,0,0,3,0,1
485,0,0,4,1,0,2,0,0,0,0,3,0,0
486,0,2,3,1,4,0,0,0,1,3,3,0,1
487,0,0,4,1,2,0,1,0,2,0,4,1,0
488,1,0,4,2,5,0,0,0,0,3,3,1,0
489,0,0,5,1,0,0,0,3,0,0,4,0,1
490,1,2,5,2,4,0,0,1,0,4,5,0,1
